epoch,loss
1,0.673197
2,0.625075
3,0.586037
4,0.554116
5,0.528206
6,0.507440
7,0.490689
8,0.477053
9,0.465738
10,0.456520
11,0.449273
12,0.442067
13,0.436083
14,0.431062
15,0.426661
16,0.427631
17,0.421810
18,0.418112
19,0.415175
20,0.412626
